"","hh_id","plot_id","fertilizer","application_time","application_amount"
"854",666535,979301,"urea",0,16
"855",188121,296458,"urea",0,40
"856",550481,622327,"urea",0,12
"857",968901,930630,"urea",0,12
"858",115046,321319,"urea",0,10
"859",932378,442080,"urea",0,30
"860",128073,156552,"urea",0,10
"862",470740,267461,"urea",0,10
"863",540277,966892,"urea",0,30
"864",776602,296479,"urea",0,5
"865",310206,721408,"urea",0,64
"867",272929,516241,"urea",0,0
"868",946584,101691,"urea",0,30
"870",555933,433586,"urea",0,30
"871",384988,768462,"urea",0,20
"872",898415,517156,"urea",0,25
"875",846643,306297,"urea",0,20
"877",959309,470317,"urea",0,30
"879",528799,556314,"urea",0,10
"880",834398,988839,"urea",0,50
"881",421252,683297,"urea",0,10
"882",212241,617194,"urea",0,10
"883",377148,200364,"urea",0,20
"884",481618,885671,"urea",0,16
"885",818932,527536,"urea",0,10
"886",228975,567235,"urea",0,5
"888",961219,658431,"urea",0,10
"889",242306,778476,"urea",0,5
"891",583262,661369,"urea",0,50
"892",599028,666417,"urea",0,45
"893",100385,380431,"urea",0,50
"894",611893,522344,"urea",0,10
"896",672628,481926,"urea",0,6
"897",353443,318781,"urea",0,40
"898",759377,662721,"urea",0,32
"899",644680,877857,"urea",0,40
"900",781826,820296,"urea",0,20
"901",332215,455803,"urea",0,7
"902",245060,685437,"urea",0,30
"903",202398,897776,"urea",0,8
"904",616673,461192,"urea",0,100
"905",987145,229256,"urea",0,80
"906",707045,384062,"urea",0,6
"907",187321,472080,"urea",0,100
"908",626883,779531,"urea",0,100
"909",406140,272925,"urea",0,20
"913",295191,882183,"urea",0,10
"916",504281,892160,"urea",0,25
"917",952318,145011,"urea",0,20
"921",810064,112799,"urea",0,50
"925",909665,261756,"urea",0,16
"926",335272,127914,"urea",0,16
"927",970247,943685,"urea",0,10
"930",201978,171525,"urea",0,8
"933",211008,765361,"urea",0,25
"934",808429,662372,"urea",0,50
"937",741048,590936,"urea",0,120
"938",441911,630265,"urea",0,80
"939",970438,576313,"urea",0,30
"940",754297,228668,"urea",0,20
"941",140514,958512,"urea",0,40
"942",206933,700537,"urea",0,30
"943",584758,364086,"urea",0,20
"944",977506,146692,"urea",0,40
"946",105235,405731,"urea",0,50
"947",530961,257478,"urea",0,100
"948",418546,667602,"urea",0,50
"949",459220,877150,"urea",0,40
"950",922079,414033,"urea",0,40
"951",880949,969622,"urea",0,40
"952",810146,924828,"urea",0,18
"953",821794,248412,"urea",0,46
"954",687729,293565,"urea",0,20
"955",691889,908702,"urea",0,26
"956",913549,767057,"urea",0,10
"957",222832,263357,"urea",0,4
"958",652204,230566,"urea",0,20
"959",578465,706476,"urea",0,20
"960",528774,979016,"urea",0,60
"961",905337,431637,"urea",0,5
"962",433327,898368,"urea",0,10
"963",317043,966383,"urea",0,90
"964",638777,816553,"urea",0,22.5
"965",971429,999019,"urea",0,30
"966",663281,908232,"urea",0,30
"967",376608,161750,"urea",0,64
"968",296264,953947,"urea",0,50
"973",433837,416873,"urea",0,20
"975",463542,402505,"urea",0,30
"976",173796,628267,"urea",0,30
"977",587101,969290,"urea",0,12
"978",921405,536112,"urea",0,36
"980",328630,297073,"urea",0,25
"981",299307,182461,"urea",0,30
"982",756272,917661,"urea",0,10
"983",969984,678779,"urea",0,30
"984",784582,619373,"urea",0,15
"985",421731,423869,"urea",0,18
"986",401290,819376,"urea",0,40
"987",101612,446444,"urea",0,32
"988",486390,401716,"urea",0,30
"989",674294,839182,"urea",0,15
"990",153039,194983,"urea",0,5
"991",635440,584312,"urea",0,50
"994",990552,348201,"urea",0,24
"997",736051,596602,"urea",0,50
"1001",932870,350882,"urea",0,20
"1003",514289,664900,"urea",0,4
"1004",434377,547966,"urea",0,4
"1005",926328,189823,"urea",0,4
"1006",877149,310773,"urea",0,60
"1007",931824,355549,"urea",0,10
"1008",707471,158251,"urea",0,30
