"","ID","population_density","wc2.1_30s_elev"
"3814",3814,1325.94653320312,68
"3815",3815,1963.31066894531,68
"3816",3816,1623.23828125,66
"3817",3817,1438.95532226562,66
"3818",3818,1623.23828125,67
"3819",3819,2264.44506835938,74
"3820",3820,1313.68310546875,69
"3821",3821,1462.96435546875,68
"3822",3822,1313.68310546875,69
"3823",3823,1462.96435546875,70
"3824",3824,1313.68310546875,70
"3825",3825,1325.94653320312,68
"3826",3826,1528.70581054688,66
"3827",3827,1942.55578613281,68
"3828",3828,1864.36181640625,66
"3829",3829,1942.55578613281,66
"3830",3830,1438.84777832031,69
"3831",3831,1623.23828125,68
"3832",3832,1438.95532226562,67
"3833",3833,1071.48083496094,71
"3834",3834,1963.31066894531,69
"3835",3835,1313.68310546875,69
"3836",3836,1121.04833984375,76
"3837",3837,1121.04833984375,76
"3838",3838,1121.04833984375,74
"3839",3839,1401.49926757812,76
"3840",3840,1401.49926757812,76
"3841",3841,1401.49926757812,76
"3842",3842,1438.95532226562,70
"3843",3843,1963.31066894531,68
"3844",3844,1878.94177246094,70
"3845",3845,1528.7626953125,67
"3846",3846,1187.69079589844,89
"3847",3847,1313.27258300781,95
"3848",3848,1076.38464355469,88
"3849",3849,1301.677734375,85
"3850",3850,1573.95727539062,80
"3851",3851,1155.57434082031,93
"3852",3852,1187.69079589844,90
"3853",3853,1521.60620117188,86
"3854",3854,1278.88464355469,85
"3855",3855,1278.88464355469,85
"3856",3856,1573.95727539062,81
"3857",3857,1187.69079589844,90
"3858",3858,1155.57434082031,93
"3859",3859,1187.69079589844,90
"3860",3860,2153.38037109375,81
"3861",3861,1009.8046875,94
"3862",3862,1174.63647460938,89
"3863",3863,1474.56494140625,85
"3864",3864,1521.60620117188,84
"3865",3865,1187.69079589844,91
"3866",3866,1187.69079589844,94
"3867",3867,1187.69079589844,89
"3868",3868,1453.90734863281,83
"3869",3869,1373.27587890625,89
"3870",3870,1124.4921875,92
"3871",3871,1575.23034667969,76
"3872",3872,1036.74377441406,90
"3873",3873,1278.88464355469,85
"3874",3874,1009.8046875,94
"3875",3875,1573.95727539062,77
"3876",3876,1474.56494140625,85
"3877",3877,1301.677734375,85
"3878",3878,1453.90734863281,84
"3879",3879,1039.65478515625,90
"3880",3880,1474.56494140625,85
"3881",3881,1032.93811035156,96
"3882",3882,1187.69079589844,90
"3883",3883,1573.95727539062,79
"3884",3884,1276.6611328125,86
"3885",3885,1474.56494140625,86
"3886",3886,1141.27001953125,85
"3887",3887,1155.57434082031,92
"3888",3888,889.141235351562,100
"3889",3889,1187.69079589844,90
"3890",3890,1187.69079589844,91
"3891",3891,1276.6611328125,87
"3892",3892,1111.85534667969,106
"3893",3893,1111.85534667969,107
"3894",3894,889.141235351562,100
"3895",3895,847.348327636719,96
"3896",3896,1187.69079589844,87
"3897",3897,1187.69079589844,88
"3898",3898,1219.3427734375,95
"3899",3899,1186.51965332031,95
"3900",3900,1120.84973144531,94
"3901",3901,1076.38464355469,88
"3902",3902,1076.38464355469,89
"3903",3903,1243.63525390625,86
"3904",3904,972.697875976562,96
"3905",3905,1196.77514648438,89
"3906",3906,1431.67822265625,78
"3907",3907,1301.677734375,85
"3908",3908,1413.38220214844,91
"3909",3909,1276.6611328125,86
"3910",3910,1276.6611328125,86
"3911",3911,1506.43896484375,85
"3912",3912,889.141235351562,100
"3913",3913,1022.55334472656,103
"3914",3914,847.348327636719,96
"3915",3915,1377.97497558594,89
"3916",3916,1239.43737792969,90
"3917",3917,1266.33630371094,93
"3918",3918,1474.56494140625,86
"3919",3919,1573.95727539062,77
"3920",3920,1506.43896484375,85
"3921",3921,1575.23034667969,76
"3922",3922,1246.55310058594,87
"3923",3923,1573.95727539062,79
"3924",3924,1575.23034667969,78
"3925",3925,1276.6611328125,86
"3926",3926,1373.27587890625,88
"3927",3927,1377.97497558594,89
"3928",3928,1377.97497558594,90
"3929",3929,1535.36730957031,84
"3930",3930,1535.36730957031,80
"3931",3931,1521.60620117188,84
"3932",3932,1187.69079589844,92
"3933",3933,1920.74145507812,80
"3934",3934,1187.69079589844,91
"3935",3935,1127.7578125,99
"3936",3936,1111.85534667969,101
"3937",3937,1111.85534667969,104
"3938",3938,1111.85534667969,101
"3939",3939,847.348327636719,96
"3940",3940,1187.69079589844,87
